state,date,new_results_reported,total_results_reported,Longitude,Latitude
NY,10/4/2020,1024,540929,-75.59655,42.921241
FL,10/4/2020,1694,1164527,-82.420978,28.260731
GA,10/4/2020,432,297184,-83.426574,32.638481
LA,10/4/2020,428,266244,-91.840238,30.921314
NY,10/5/2020,1497,542426,-75.59655,42.921241
FL,10/5/2020,2252,1166779,-82.420978,28.260731
MD,10/5/2020,733,216103,-76.687282,38.946466
CA,10/5/2020,848,886545,-119.662127,37.211164
LA,10/5/2020,682,266926,-91.840238,30.921314
GA,10/5/2020,1593,298777,-83.426574,32.638481
WA,10/5/2020,292,84246,-120.592492,47.411715
OH,10/5/2020,997,174171,-82.70936,40.415534
FL,10/6/2020,4685,1171464,-82.420978,28.260731
GA,10/6/2020,1334,300111,-83.426574,32.638481
LA,10/6/2020,882,267808,-91.840238,30.921314
CA,10/6/2020,3135,889680,-119.662127,37.211164
NY,10/6/2020,1579,544005,-75.59655,42.921241
WA,10/6/2020,396,84642,-120.592492,47.411715
OH,10/6/2020,1337,175508,-82.70936,40.415534
MD,10/6/2020,1230,217333,-76.687282,38.946466
MD,10/7/2020,1198,218531,-76.687282,38.946466
CA,10/7/2020,4247,893927,-119.662127,37.211164
OH,10/7/2020,1759,177267,-82.70936,40.415534
FL,10/7/2020,3775,1175239,-82.420978,28.260731
WA,10/7/2020,403,85045,-120.592492,47.411715
GA,10/7/2020,1390,301501,-83.426574,32.638481
NY,10/7/2020,1593,545598,-75.59655,42.921241
LA,10/7/2020,989,268797,-91.840238,30.921314
WA,10/8/2020,518,85563,-120.592492,47.411715
CA,10/8/2020,4335,898262,-119.662127,37.211164
NY,10/8/2020,1825,547423,-75.59655,42.921241
FL,10/8/2020,3742,1178981,-82.420978,28.260731
OH,10/8/2020,1790,179057,-82.70936,40.415534
GA,10/8/2020,1382,302883,-83.426574,32.638481
MD,10/8/2020,1282,219813,-76.687282,38.946466
LA,10/8/2020,922,269719,-91.840238,30.921314
GA,10/9/2020,1314,304197,-83.426574,32.638481
NY,10/9/2020,1840,549263,-75.59655,42.921241
OH,10/9/2020,1643,180700,-82.70936,40.415534
CA,10/9/2020,4057,902319,-119.662127,37.211164
FL,10/9/2020,3561,1182542,-82.420978,28.260731
MD,10/9/2020,1178,220991,-76.687282,38.946466
LA,10/9/2020,721,270440,-91.840238,30.921314
WA,10/9/2020,423,85986,-120.592492,47.411715
LA,11/1/2020,436,288093,-91.840238,30.921314
MD,11/1/2020,1434,253436,-76.687282,38.946466
NY,11/1/2020,2018,592668,-75.59655,42.921241
WA,11/1/2020,660,97233,-120.592492,47.411715
OH,11/1/2020,2584,236933,-82.70936,40.415534
FL,11/1/2020,2692,1267287,-82.420978,28.260731
CA,11/1/2020,4485,970656,-119.662127,37.211164
GA,11/1/2020,518,333396,-83.426574,32.638481
FL,11/10/2020,6343,1315128,-82.420978,28.260731
NY,11/10/2020,4330,622800,-75.59655,42.921241
WA,11/10/2020,1039,105424,-120.592492,47.411715
MD,11/10/2020,3211,274097,-76.687282,38.946466
OH,11/10/2020,7408,284542,-82.70936,40.415534
LA,11/10/2020,1310,297942,-91.840238,30.921314
CA,11/10/2020,2757,1018315,-119.662127,37.211164
